"Localidad";"Tipo_gas";"Descripcion";"fecha";"valor";"anio";"mes"
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";2002-12-01;14;2002;12
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";2002-12-01;-9;2002;12
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";2002-12-01;101;2002;12
"Rio Grande";"Gas envasado";"Granel (kg.)";2002-12-01;24996;2002;12
"Ushuaia";"Gas de red";"Promedio de usuarios";2002-12-01;13759;2002;12
"Ushuaia";"Gas de red";"M3";2002-12-01;10357209;2002;12
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";2002-12-01;931;2002;12
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";2002-12-01;-9;2002;12
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";2002-12-01;-9;2002;12
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";2002-12-01;198;2002;12
"Ushuaia";"Gas envasado";"Granel (kg.)";2002-12-01;21937;2002;12
"Tolhuin";"Gas de red";"Promedio de usuarios";2002-12-01;413;2002;12
"Tolhuin";"Gas de red";"M3";2002-12-01;325407;2002;12
"Rio Grande";"Gas de red";"Promedio de usuarios";2003-01-01;14994;2003;1
"Rio Grande";"Gas de red";"M3";2003-01-01;12700000;2003;1
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";2003-01-01;160;2003;1
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";2003-01-01;7;2003;1
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";2003-01-01;-9;2003;1
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";2003-01-01;136;2003;1
"Rio Grande";"Gas envasado";"Granel (kg.)";2003-01-01;32493;2003;1
"Ushuaia";"Gas de red";"Promedio de usuarios";2003-01-01;13727;2003;1
"Ushuaia";"Gas de red";"M3";2003-01-01;10450000;2003;1
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";2003-01-01;524;2003;1
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";2003-01-01;-9;2003;1
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";2003-01-01;-9;2003;1
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";2003-01-01;230;2003;1
"Ushuaia";"Gas envasado";"Granel (kg.)";2003-01-01;27156;2003;1
"Tolhuin";"Gas de red";"Promedio de usuarios";2003-01-01;416;2003;1
"Tolhuin";"Gas de red";"M3";2003-01-01;380000;2003;1
"Rio Grande";"Gas de red";"Promedio de usuarios";2003-02-01;15031;2003;2
"Rio Grande";"Gas de red";"M3";2003-02-01;11460000;2003;2
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";2003-02-01;122;2003;2
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";2003-02-01;10;2003;2
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";2003-02-01;-9;2003;2
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";2003-02-01;118;2003;2
"Rio Grande";"Gas envasado";"Granel (kg.)";2003-02-01;22347;2003;2
"Ushuaia";"Gas de red";"Promedio de usuarios";2003-02-01;13778;2003;2
"Ushuaia";"Gas de red";"M3";2003-02-01;9680000;2003;2
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";2003-02-01;668;2003;2
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";2003-02-01;-9;2003;2
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";2003-02-01;-9;2003;2
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";2003-02-01;211;2003;2
"Ushuaia";"Gas envasado";"Granel (kg.)";2003-02-01;23760;2003;2
"Tolhuin";"Gas de red";"Promedio de usuarios";2003-02-01;419;2003;2
"Tolhuin";"Gas de red";"M3";2003-02-01;325000;2003;2
"Rio Grande";"Gas de red";"Promedio de usuarios";2003-03-01;15116;2003;3
"Rio Grande";"Gas de red";"M3";2003-03-01;15950000;2003;3
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";2003-03-01;166;2003;3
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";2003-03-01;8;2003;3
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";2003-03-01;-9;2003;3
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";2003-03-01;136;2003;3
"Rio Grande";"Gas envasado";"Granel (kg.)";2003-03-01;12982;2003;3
"Ushuaia";"Gas de red";"Promedio de usuarios";2003-03-01;13809;2003;3
"Ushuaia";"Gas de red";"M3";2003-03-01;12350000;2003;3
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";2003-03-01;879;2003;3
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";2003-03-01;-9;2003;3
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";2003-03-01;-9;2003;3
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";2003-03-01;206;2003;3
"Ushuaia";"Gas envasado";"Granel (kg.)";2003-03-01;24381;2003;3
"Tolhuin";"Gas de red";"Promedio de usuarios";2003-03-01;420;2003;3
"Tolhuin";"Gas de red";"M3";2003-03-01;380000;2003;3
"Rio Grande";"Gas de red";"Promedio de usuarios";2003-04-01;15213;2003;4
"Rio Grande";"Gas de red";"M3";2003-04-01;16750000;2003;4
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";2003-04-01;179;2003;4
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";2003-04-01;16;2003;4
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";2003-04-01;-9;2003;4
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";2003-04-01;217;2003;4
"Rio Grande";"Gas envasado";"Granel (kg.)";2003-04-01;10895;2003;4
"Ushuaia";"Gas de red";"Promedio de usuarios";2003-04-01;13849;2003;4
"Ushuaia";"Gas de red";"M3";2003-04-01;13550000;2003;4
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";2003-04-01;1140;2003;4
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";2003-04-01;-9;2003;4
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";2003-04-01;-9;2003;4
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";2003-04-01;243;2003;4
"Ushuaia";"Gas envasado";"Granel (kg.)";2003-04-01;22358;2003;4
"Tolhuin";"Gas de red";"Promedio de usuarios";2003-04-01;422;2003;4
"Tolhuin";"Gas de red";"M3";2003-04-01;499000;2003;4
"Rio Grande";"Gas de red";"Promedio de usuarios";2003-05-01;15340;2003;5
"Rio Grande";"Gas de red";"M3";2003-05-01;20220000;2003;5
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";2003-05-01;233;2003;5
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";2003-05-01;13;2003;5
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";2003-05-01;-9;2003;5
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";2003-05-01;319;2003;5
"Rio Grande";"Gas envasado";"Granel (kg.)";2003-05-01;30913;2003;5
"Ushuaia";"Gas de red";"Promedio de usuarios";2003-05-01;13909;2003;5
"Ushuaia";"Gas de red";"M3";2003-05-01;15300000;2003;5
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";2003-05-01;2133;2003;5
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";2003-05-01;-9;2003;5
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";2003-05-01;-9;2003;5
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";2003-05-01;501;2003;5
"Ushuaia";"Gas envasado";"Granel (kg.)";2003-05-01;31709;2003;5
"Tolhuin";"Gas de red";"Promedio de usuarios";2003-05-01;426;2003;5
"Tolhuin";"Gas de red";"M3";2003-05-01;490000;2003;5
"Rio Grande";"Gas de red";"Promedio de usuarios";2003-06-01;15313;2003;6
"Rio Grande";"Gas de red";"M3";2003-06-01;22660000;2003;6
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";2003-06-01;214;2003;6
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";2003-06-01;18;2003;6
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";2003-06-01;-9;2003;6
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";2003-06-01;357;2003;6
"Rio Grande";"Gas envasado";"Granel (kg.)";2003-06-01;54712;2003;6
"Ushuaia";"Gas de red";"Promedio de usuarios";2003-06-01;13946;2003;6
"Ushuaia";"Gas de red";"M3";2003-06-01;18320000;2003;6
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";2003-06-01;7825;2003;6
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";2003-06-01;-9;2003;6
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";2003-06-01;-9;2003;6
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";2003-06-01;643;2003;6
"Ushuaia";"Gas envasado";"Granel (kg.)";2003-06-01;22605;2003;6
"Tolhuin";"Gas de red";"Promedio de usuarios";2003-06-01;431;2003;6
"Tolhuin";"Gas de red";"M3";2003-06-01;513000;2003;6
"Rio Grande";"Gas de red";"Promedio de usuarios";2003-07-01;15372;2003;7
"Rio Grande";"Gas de red";"M3";2003-07-01;22880000;2003;7
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";2003-07-01;1576;2003;7
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";2003-07-01;20;2003;7
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";2003-07-01;-9;2003;7
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";2003-07-01;505;2003;7
"Rio Grande";"Gas envasado";"Granel (kg.)";2003-07-01;22615;2003;7
"Ushuaia";"Gas de red";"Promedio de usuarios";2003-07-01;13973;2003;7
"Ushuaia";"Gas de red";"M3";2003-07-01;17390000;2003;7
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";2003-07-01;6470;2003;7
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";2003-07-01;-9;2003;7
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";2003-07-01;-9;2003;7
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";2003-07-01;732;2003;7
"Ushuaia";"Gas envasado";"Granel (kg.)";2003-07-01;31499;2003;7
"Tolhuin";"Gas de red";"Promedio de usuarios";2003-07-01;434;2003;7
"Tolhuin";"Gas de red";"M3";2003-07-01;565000;2003;7
"Rio Grande";"Gas de red";"Promedio de usuarios";2003-08-01;15431;2003;8
"Rio Grande";"Gas de red";"M3";2003-08-01;22230000;2003;8
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";2003-08-01;167;2003;8
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";2003-08-01;14;2003;8
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";2003-08-01;-9;2003;8
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";2003-08-01;518;2003;8
"Rio Grande";"Gas envasado";"Granel (kg.)";2003-08-01;35476;2003;8
"Ushuaia";"Gas de red";"Promedio de usuarios";2003-08-01;13999;2003;8
"Ushuaia";"Gas de red";"M3";2003-08-01;17270000;2003;8
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";2003-08-01;6293;2003;8
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";2003-08-01;-9;2003;8
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";2003-08-01;-9;2003;8
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";2003-08-01;650;2003;8
"Ushuaia";"Gas envasado";"Granel (kg.)";2003-08-01;35329;2003;8
"Tolhuin";"Gas de red";"Promedio de usuarios";2003-08-01;436;2003;8
"Tolhuin";"Gas de red";"M3";2003-08-01;555000;2003;8
"Rio Grande";"Gas de red";"Promedio de usuarios";2003-09-01;15434;2003;9
"Rio Grande";"Gas de red";"M3";2003-09-01;20280000;2003;9
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";2003-09-01;205;2003;9
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";2003-09-01;23;2003;9
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";2003-09-01;-9;2003;9
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";2003-09-01;404;2003;9
"Rio Grande";"Gas envasado";"Granel (kg.)";2003-09-01;21347;2003;9
"Ushuaia";"Gas de red";"Promedio de usuarios";2003-09-01;14006;2003;9
"Ushuaia";"Gas de red";"M3";2003-09-01;15550000;2003;9
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";2003-09-01;6642;2003;9
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";2003-09-01;-9;2003;9
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";2003-09-01;-9;2003;9
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";2003-09-01;696;2003;9
"Ushuaia";"Gas envasado";"Granel (kg.)";2003-09-01;18977;2003;9
"Tolhuin";"Gas de red";"Promedio de usuarios";2003-09-01;437;2003;9
"Tolhuin";"Gas de red";"M3";2003-09-01;510000;2003;9
"Rio Grande";"Gas de red";"Promedio de usuarios";2003-10-01;15406;2003;10
"Rio Grande";"Gas de red";"M3";2003-10-01;18760000;2003;10
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";2003-10-01;125;2003;10
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";2003-10-01;17;2003;10
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";2003-10-01;-9;2003;10
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";2003-10-01;415;2003;10
"Rio Grande";"Gas envasado";"Granel (kg.)";2003-10-01;74971;2003;10
"Ushuaia";"Gas de red";"Promedio de usuarios";2003-10-01;14018;2003;10
"Ushuaia";"Gas de red";"M3";2003-10-01;14480000;2003;10
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";2003-10-01;2309;2003;10
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";2003-10-01;-9;2003;10
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";2003-10-01;-9;2003;10
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";2003-10-01;545;2003;10
"Ushuaia";"Gas envasado";"Granel (kg.)";2003-10-01;32303;2003;10
"Tolhuin";"Gas de red";"Promedio de usuarios";2003-10-01;439;2003;10
"Tolhuin";"Gas de red";"M3";2003-10-01;460000;2003;10
"Rio Grande";"Gas de red";"Promedio de usuarios";2003-11-01;15502;2003;11
"Rio Grande";"Gas de red";"M3";2003-11-01;15900000;2003;11
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";2003-11-01;187;2003;11
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";2003-11-01;25;2003;11
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";2003-11-01;-9;2003;11
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";2003-11-01;212;2003;11
"Rio Grande";"Gas envasado";"Granel (kg.)";2003-11-01;67920;2003;11
"Ushuaia";"Gas de red";"Promedio de usuarios";2003-11-01;14030;2003;11
"Ushuaia";"Gas de red";"M3";2003-11-01;13750000;2003;11
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";2003-11-01;2126;2003;11
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";2003-11-01;-9;2003;11
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";2003-11-01;-9;2003;11
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";2003-11-01;700;2003;11
"Ushuaia";"Gas envasado";"Granel (kg.)";2003-11-01;21187;2003;11
"Tolhuin";"Gas de red";"Promedio de usuarios";2003-11-01;439;2003;11
"Tolhuin";"Gas de red";"M3";2003-11-01;440000;2003;11
"Rio Grande";"Gas de red";"Promedio de usuarios";2003-12-01;15583;2003;12
"Rio Grande";"Gas de red";"M3";2003-12-01;13700000;2003;12
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";2003-12-01;148;2003;12
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";2003-12-01;15;2003;12
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";2003-12-01;-9;2003;12
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";2003-12-01;123;2003;12
"Rio Grande";"Gas envasado";"Granel (kg.)";2003-12-01;29169;2003;12
"Ushuaia";"Gas de red";"Promedio de usuarios";2003-12-01;14050;2003;12
"Ushuaia";"Gas de red";"M3";2003-12-01;12070000;2003;12
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";2003-12-01;2834;2003;12
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";2003-12-01;-9;2003;12
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";2003-12-01;-9;2003;12
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";2003-12-01;327;2003;12
"Ushuaia";"Gas envasado";"Granel (kg.)";2003-12-01;23271;2003;12
"Tolhuin";"Gas de red";"Promedio de usuarios";2003-12-01;441;2003;12
"Tolhuin";"Gas de red";"M3";2003-12-01;390000;2003;12
"Rio Grande";"Gas de red";"Promedio de usuarios";2004-01-01;15585;2004;1
"Rio Grande";"Gas de red";"M3";2004-01-01;12486000;2004;1
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";2004-01-01;192;2004;1
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";2004-01-01;29;2004;1
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";2004-01-01;-9;2004;1
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";2004-01-01;232;2004;1
"Rio Grande";"Gas envasado";"Granel (kg.)";2004-01-01;30829;2004;1
"Ushuaia";"Gas de red";"Promedio de usuarios";2004-01-01;14098;2004;1
"Ushuaia";"Gas de red";"M3";2004-01-01;10482000;2004;1
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";2004-01-01;2682;2004;1
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";2004-01-01;-9;2004;1
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";2004-01-01;-9;2004;1
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";2004-01-01;756;2004;1
"Ushuaia";"Gas envasado";"Granel (kg.)";2004-01-01;17177;2004;1
"Tolhuin";"Gas de red";"Promedio de usuarios";2004-01-01;441;2004;1
"Tolhuin";"Gas de red";"M3";2004-01-01;288000;2004;1
"Rio Grande";"Gas de red";"Promedio de usuarios";2004-02-01;15555;2004;2
"Rio Grande";"Gas de red";"M3";2004-02-01;11562000;2004;2
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";2004-02-01;149;2004;2
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";2004-02-01;16;2004;2
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";2004-02-01;-9;2004;2
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";2004-02-01;242;2004;2
"Rio Grande";"Gas envasado";"Granel (kg.)";2004-02-01;20362;2004;2
"Ushuaia";"Gas de red";"Promedio de usuarios";2004-02-01;14132;2004;2
"Ushuaia";"Gas de red";"M3";2004-02-01;9586000;2004;2
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";2004-02-01;2188;2004;2
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";2004-02-01;-9;2004;2
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";2004-02-01;-9;2004;2
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";2004-02-01;516;2004;2
"Ushuaia";"Gas envasado";"Granel (kg.)";2004-02-01;19971;2004;2
"Tolhuin";"Gas de red";"Promedio de usuarios";2004-02-01;444;2004;2
"Tolhuin";"Gas de red";"M3";2004-02-01;305000;2004;2
"Rio Grande";"Gas de red";"Promedio de usuarios";2004-03-01;15604;2004;3
"Rio Grande";"Gas de red";"M3";2004-03-01;15344000;2004;3
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";2004-03-01;162;2004;3
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";2004-03-01;28;2004;3
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";2004-03-01;-9;2004;3
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";2004-03-01;398;2004;3
"Rio Grande";"Gas envasado";"Granel (kg.)";2004-03-01;96337;2004;3
"Ushuaia";"Gas de red";"Promedio de usuarios";2004-03-01;14127;2004;3
"Ushuaia";"Gas de red";"M3";2004-03-01;12314000;2004;3
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";2004-03-01;3027;2004;3
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";2004-03-01;-9;2004;3
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";2004-03-01;-9;2004;3
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";2004-03-01;574;2004;3
"Ushuaia";"Gas envasado";"Granel (kg.)";2004-03-01;23682;2004;3
"Tolhuin";"Gas de red";"Promedio de usuarios";2004-03-01;448;2004;3
"Tolhuin";"Gas de red";"M3";2004-03-01;420000;2004;3
"Rio Grande";"Gas de red";"Promedio de usuarios";2004-04-01;15674;2004;4
"Rio Grande";"Gas de red";"M3";2004-04-01;18012000;2004;4
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";2004-04-01;221;2004;4
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";2004-04-01;24;2004;4
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";2004-04-01;-9;2004;4
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";2004-04-01;338;2004;4
"Rio Grande";"Gas envasado";"Granel (kg.)";2004-04-01;70077;2004;4
"Ushuaia";"Gas de red";"Promedio de usuarios";2004-04-01;14176;2004;4
"Ushuaia";"Gas de red";"M3";2004-04-01;14107000;2004;4
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";2004-04-01;3561;2004;4
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";2004-04-01;-9;2004;4
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";2004-04-01;-9;2004;4
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";2004-04-01;953;2004;4
"Ushuaia";"Gas envasado";"Granel (kg.)";2004-04-01;33493;2004;4
"Tolhuin";"Gas de red";"Promedio de usuarios";2004-04-01;450;2004;4
"Tolhuin";"Gas de red";"M3";2004-04-01;463000;2004;4
"Rio Grande";"Gas de red";"Promedio de usuarios";2004-05-01;15757;2004;5
"Rio Grande";"Gas de red";"M3";2004-05-01;22195000;2004;5
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";2004-05-01;248;2004;5
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";2004-05-01;17;2004;5
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";2004-05-01;-9;2004;5
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";2004-05-01;462;2004;5
"Rio Grande";"Gas envasado";"Granel (kg.)";2004-05-01;28546;2004;5
"Ushuaia";"Gas de red";"Promedio de usuarios";2004-05-01;14181;2004;5
"Ushuaia";"Gas de red";"M3";2004-05-01;16732000;2004;5
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";2004-05-01;4633;2004;5
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";2004-05-01;-9;2004;5
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";2004-05-01;-9;2004;5
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";2004-05-01;954;2004;5
"Ushuaia";"Gas envasado";"Granel (kg.)";2004-05-01;23803;2004;5
"Tolhuin";"Gas de red";"Promedio de usuarios";2004-05-01;453;2004;5
"Tolhuin";"Gas de red";"M3";2004-05-01;506000;2004;5
"Rio Grande";"Gas de red";"Promedio de usuarios";2004-06-01;15809;2004;6
"Rio Grande";"Gas de red";"M3";2004-06-01;21892000;2004;6
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";2004-06-01;313;2004;6
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";2004-06-01;29;2004;6
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";2004-06-01;-9;2004;6
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";2004-06-01;374;2004;6
"Rio Grande";"Gas envasado";"Granel (kg.)";2004-06-01;57726;2004;6
"Ushuaia";"Gas de red";"Promedio de usuarios";2004-06-01;14163;2004;6
"Ushuaia";"Gas de red";"M3";2004-06-01;16496000;2004;6
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";2004-06-01;4574;2004;6
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";2004-06-01;-9;2004;6
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";2004-06-01;-9;2004;6
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";2004-06-01;1155;2004;6
"Ushuaia";"Gas envasado";"Granel (kg.)";2004-06-01;32870;2004;6
"Tolhuin";"Gas de red";"Promedio de usuarios";2004-06-01;454;2004;6
"Tolhuin";"Gas de red";"M3";2004-06-01;634000;2004;6
"Rio Grande";"Gas de red";"Promedio de usuarios";2004-07-01;15818;2004;7
"Rio Grande";"Gas de red";"M3";2004-07-01;24604000;2004;7
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";2004-07-01;292;2004;7
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";2004-07-01;18;2004;7
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";2004-07-01;-9;2004;7
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";2004-07-01;460;2004;7
"Rio Grande";"Gas envasado";"Granel (kg.)";2004-07-01;39620;2004;7
"Ushuaia";"Gas de red";"Promedio de usuarios";2004-07-01;14296;2004;7
"Ushuaia";"Gas de red";"M3";2004-07-01;18605000;2004;7
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";2004-07-01;4436;2004;7
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";2004-07-01;-9;2004;7
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";2004-07-01;-9;2004;7
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";2004-07-01;1019;2004;7
"Ushuaia";"Gas envasado";"Granel (kg.)";2004-07-01;36654;2004;7
"Tolhuin";"Gas de red";"Promedio de usuarios";2004-07-01;460;2004;7
"Tolhuin";"Gas de red";"M3";2004-07-01;629000;2004;7
