"Localidad";"Tipo_gas";"Descripcion";"fecha";"valor";"anio";"mes"
"Tolhuin";"Gas de red";"Promedio de usuarios";1998-04-01;295;1998;4
"Tolhuin";"Gas de red";"M3";1998-04-01;230000;1998;4
"Rio Grande";"Gas de red";"Promedio de usuarios";1998-05-01;13315;1998;5
"Rio Grande";"Gas de red";"M3";1998-05-01;16200000;1998;5
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";1998-05-01;270;1998;5
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";1998-05-01;-9;1998;5
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";1998-05-01;-9;1998;5
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";1998-05-01;595;1998;5
"Rio Grande";"Gas envasado";"Granel (kg.)";1998-05-01;-9;1998;5
"Ushuaia";"Gas de red";"Promedio de usuarios";1998-05-01;11674;1998;5
"Ushuaia";"Gas de red";"M3";1998-05-01;9981998;1998;5
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";1998-05-01;8069;1998;5
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";1998-05-01;-9;1998;5
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";1998-05-01;-9;1998;5
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";1998-05-01;1611;1998;5
"Ushuaia";"Gas envasado";"Granel (kg.)";1998-05-01;-9;1998;5
"Tolhuin";"Gas de red";"Promedio de usuarios";1998-05-01;295;1998;5
"Tolhuin";"Gas de red";"M3";1998-05-01;260000;1998;5
"Rio Grande";"Gas de red";"Promedio de usuarios";1998-06-01;13360;1998;6
"Rio Grande";"Gas de red";"M3";1998-06-01;17200000;1998;6
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";1998-06-01;230;1998;6
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";1998-06-01;-9;1998;6
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";1998-06-01;-9;1998;6
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";1998-06-01;605;1998;6
"Rio Grande";"Gas envasado";"Granel (kg.)";1998-06-01;-9;1998;6
"Ushuaia";"Gas de red";"Promedio de usuarios";1998-06-01;11742;1998;6
"Ushuaia";"Gas de red";"M3";1998-06-01;10193511;1998;6
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";1998-06-01;7757;1998;6
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";1998-06-01;-9;1998;6
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";1998-06-01;-9;1998;6
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";1998-06-01;1545;1998;6
"Ushuaia";"Gas envasado";"Granel (kg.)";1998-06-01;-9;1998;6
"Tolhuin";"Gas de red";"Promedio de usuarios";1998-06-01;305;1998;6
"Tolhuin";"Gas de red";"M3";1998-06-01;3e+05;1998;6
"Rio Grande";"Gas de red";"Promedio de usuarios";1998-07-01;13430;1998;7
"Rio Grande";"Gas de red";"M3";1998-07-01;18500000;1998;7
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";1998-07-01;188;1998;7
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";1998-07-01;-9;1998;7
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";1998-07-01;-9;1998;7
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";1998-07-01;611;1998;7
"Rio Grande";"Gas envasado";"Granel (kg.)";1998-07-01;-9;1998;7
"Ushuaia";"Gas de red";"Promedio de usuarios";1998-07-01;11804;1998;7
"Ushuaia";"Gas de red";"M3";1998-07-01;10355762;1998;7
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";1998-07-01;7555;1998;7
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";1998-07-01;-9;1998;7
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";1998-07-01;-9;1998;7
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";1998-07-01;1654;1998;7
"Ushuaia";"Gas envasado";"Granel (kg.)";1998-07-01;-9;1998;7
"Tolhuin";"Gas de red";"Promedio de usuarios";1998-07-01;305;1998;7
"Tolhuin";"Gas de red";"M3";1998-07-01;305000;1998;7
"Rio Grande";"Gas de red";"Promedio de usuarios";1998-08-01;13454;1998;8
"Rio Grande";"Gas de red";"M3";1998-08-01;18175000;1998;8
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";1998-08-01;183;1998;8
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";1998-08-01;-9;1998;8
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";1998-08-01;-9;1998;8
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";1998-08-01;540;1998;8
"Rio Grande";"Gas envasado";"Granel (kg.)";1998-08-01;-9;1998;8
"Ushuaia";"Gas de red";"Promedio de usuarios";1998-08-01;11825;1998;8
"Ushuaia";"Gas de red";"M3";1998-08-01;11383424;1998;8
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";1998-08-01;7272;1998;8
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";1998-08-01;-9;1998;8
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";1998-08-01;-9;1998;8
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";1998-08-01;1559;1998;8
"Ushuaia";"Gas envasado";"Granel (kg.)";1998-08-01;-9;1998;8
